frame,start,end
103,26606,26613
9,26613,26620
34,26621,26628
67,26628,26636
47,26636,26643
60,26644,26651
28,26651,26658
-1,26659,26666
20,26666,26673
61,26674,26681
9,26681,26688
110,26689,26696
62,26696,26703
23,26704,26711
117,26711,26718
90,26719,26726
29,26726,26733
50,26734,26741
1,26741,26748
96,26749,26756
32,26756,26763
113,26764,26771
18,26771,26778
26,26779,26786
38,26787,26794
94,26794,26801
85,26802,26809
83,26809,26816
37,26817,26824
83,26824,26831
37,26832,26839
46,26839,26846
110,26847,26854
36,26854,26861
30,26862,26869
49,26869,26876
48,26877,26884
95,26884,26891
79,26892,26899
30,26899,26906
96,26907,26914
66,26914,26921
54,26922,26929
74,26929,26936
73,26937,26944
32,26945,26952
57,26952,26959
36,26960,26967
70,26967,26974
92,26975,26982
38,26982,26989
48,26990,26997
45,26997,27004
38,27005,27012
91,27012,27019
17,27020,27027
95,27027,27034
72,27035,27042
68,27042,27049
72,27050,27057
88,27057,27064
98,27065,27072
31,27072,27079
66,27080,27087
14,27087,27095
24,27095,27102
73,27103,27110
96,27110,27117
38,27118,27125
20,27125,27132
114,27133,27140
99,27140,27147
22,27148,27155
26,27155,27162
53,27163,27170
5,27170,27177
39,27178,27185
44,27185,27192
29,27193,27200
21,27200,27207
56,27208,27215
67,27215,27222
97,27223,27230
4,27230,27237
72,27238,27245
49,27246,27253
61,27253,27260
33,27261,27268
21,27268,27275
77,27276,27283
7,27283,27290
30,27291,27298
99,27298,27305
89,27306,27313
1,27313,27320
80,27321,27328
67,27328,27335
15,27336,27343
85,27343,27350
18,27351,27358
13,27358,27365
28,27366,27373
60,27373,27380
65,27381,27388
82,27388,27396
75,27396,27403
57,27404,27411
36,27411,27418
43,27419,27426
71,27426,27433
47,27434,27441
34,27441,27448
34,27449,27456
88,27456,27463
18,27464,27471
40,27471,27478
37,27479,27486
95,27486,27493
34,27494,27501
67,27501,27508
27,27509,27516
45,27516,27523
116,27524,27531
45,27531,27538
79,27539,27546
88,27547,27554
45,27554,27561
83,27562,27569
77,27569,27576
65,27577,27584
44,27584,27591
51,27592,27599
61,27599,27606
42,27607,27614
57,27614,27621
99,27622,27629
87,27629,27636
47,27637,27644
14,27644,27651
59,27652,27659
66,27659,27666
106,27667,27674
99,27674,27681
24,27682,27689
86,27689,27697
30,27697,27704
59,27705,27712
37,27712,27719
108,27720,27727
75,27727,27734
30,27735,27742
104,27742,27749
2,27750,27757
61,27757,27764
20,27765,27772
90,27772,27779
46,27780,27787
76,27787,27794
46,27795,27802
88,27802,27809
69,27810,27817
48,27817,27824
80,27825,27832
33,27832,27839
91,27840,27847
113,27847,27855
18,27855,27862
32,27863,27870
83,27870,27877
114,27878,27885
107,27885,27892
98,27893,27900
2,27900,27907
14,27908,27915
69,27915,27922
58,27923,27930
54,27930,27937
112,27938,27945
117,27945,27952
48,27953,27960
116,27960,27967
10,27968,27975
11,27975,27982
3,27983,27990
31,27990,27997
88,27998,28005
77,28006,28013
107,28013,28020
70,28021,28028
54,28028,28035
91,28036,28043
48,28043,28050
38,28051,28058
26,28058,28065
109,28066,28073
36,28073,28080
92,28081,28088
86,28088,28095
44,28096,28103
101,28103,28110
51,28111,28118
85,28118,28125
79,28126,28133
80,28133,28140
73,28141,28148
70,28148,28156
80,28156,28163
108,28164,28171
15,28171,28178
19,28179,28186
1,28186,28193
17,28194,28201
116,28201,28208
11,28209,28216
47,28216,28223
59,28224,28231
97,28231,28238
65,28239,28246
66,28246,28253
2,28254,28261
97,28261,28268
94,28269,28276
16,28276,28283
23,28284,28291
56,28291,28298
3,28299,28306
77,28307,28314
45,28314,28321
49,28322,28329
56,28329,28336
18,28337,28344
102,28344,28351
115,28352,28359
53,28359,28366
102,28367,28374
7,28374,28381
27,28382,28389
8,28389,28396
65,28397,28404
51,28404,28411
77,28412,28419
78,28419,28426
95,28427,28434
25,28434,28441
49,28442,28449
75,28449,28457
79,28457,28464
106,28465,28472
40,28472,28479
40,28480,28487
84,28487,28494
80,28495,28502
67,28502,28509
15,28510,28517
48,28517,28524
24,28525,28532
9,28532,28539
82,28540,28547
100,28547,28554
87,28555,28562
89,28562,28569
102,28570,28577
89,28577,28584
49,28585,28592
79,28592,28599
68,28600,28607
25,28608,28615
67,28615,28622
91,28623,28630
34,28630,28637
57,28638,28645
59,28645,28652
21,28653,28660
82,28660,28667
93,28668,28675
108,28675,28682
1,28683,28690
72,28690,28697
89,28698,28705
43,28705,28712
32,28713,28720
85,28720,28727
33,28728,28735
7,28735,28742
0,28743,28750
16,28750,28757
-1,28758,28765
4,28766,28773
93,28773,28780
54,28781,28788
21,28788,28795
62,28796,28803
44,28803,28810
46,28811,28818
34,28818,28825
16,28826,28833
39,28833,28840
115,28841,28848
58,28848,28855
56,28856,28863
-1,28863,28870
82,28871,28878
46,28878,28885
37,28886,28893
23,28893,28900
63,28901,28908
46,28908,28916
81,28916,28923
70,28924,28931
33,28931,28938
20,28939,28946
83,28946,28953
2,28954,28961
0,28961,28968
102,28969,28976
24,28976,28985
107,28986,28993
113,28993,29000
62,29001,29008
84,29008,29015
41,29016,29023
111,29023,29030
31,29031,29038
12,29038,29045
49,29046,29053
13,29053,29060
8,29061,29068
73,29069,29076
41,29076,29083
82,29084,29091
1,29091,29098
46,29099,29106
97,29106,29113
63,29114,29121
42,29121,29128
77,29129,29136
37,29136,29143
43,29144,29151
105,29151,29158
104,29159,29166
41,29166,29173
88,29174,29181
12,29181,29188
17,29189,29196
46,29196,29203
35,29204,29211
25,29211,29219
108,29219,29226
